 ira =        29993   masha =        32255
           0           0       29993
           1           0       29994
           1          -1       29744
           1          -2       29494
           2          -2       29495
           2          -3       29245
           3          -3       29246
           3          -2       29496
           3          -1       29746
           3           0       29996
           3           1       30246
           4           1       30247
           4           0       29997
           5           0       29998
           5           1       30248
           5           2       30498
           6           2       30499
           7           2       30500
           7           1       30250
           7           0       30000
           8           0       29751
           9           0       29752
          10           0       29753
          11           0       29754
          12           0       29755
          12           1       30005
          11           1       30004
          10           1       30003
          10           2       30253
          10           3       30503
          10           4       30753
           9           4       30752
           8           4       30751
           8           5       31001
           9           5       31002
           9           6       31252
           9           7       31502
           9           8       31752
          10           8       31753
          10           7       31503
          10           6       31253
          11           6       31254
          12           6       31255
          13           6       31256
          13           7       31506
          12           7       31505
          11           7       31504
          11           8       31754
          11           9       32004
          11          10       32254
          12          10       32255
